Time	 Velocity	 Time	 Velocity	 Time	 Velocity	 Time	 Velocity	 Time	 Velocity	 Time	 Velocity	
ns	 km/s	 ns	 km/s	 ns	 km/s	 ns	 km/s	 ns	 km/s	 ns	 km/s	
1_Ch1.txt	 1_Ch1.txt	 2_Ch1.txt	 2_Ch1.txt	 3_Ch1.txt	 3_Ch1.txt	 4_Ch1.txt	 4_Ch1.txt	 5_Ch1.txt	 5_Ch1.txt	 6_Ch1.txt	 6_Ch1.txt	
-315.02	0	-320.42	0	-314.3	0	-229.74	0	-315.3	0	-321.38	0
-314.94	0	-320.34	0	-314.22	0	-229.66	0	-315.22	0	-321.3	0
-314.86	0	-320.26	0	-314.14	0	-229.58	0	-315.14	0	-321.22	0
-314.78	0	-320.18	0	-314.06	0	-229.5	0	-315.06	0	-321.14	0
-314.7	0	-320.1	0	-313.98	0	-229.42	0	-314.98	0	-321.06	0
-314.62	0	-320.02	0	-313.9	0	-229.34	0	-314.9	0	-320.98	0
-314.54	0	-319.94	0	-313.82	0	-229.26	0	-314.82	0	-320.9	0
-314.46	0	-319.86	0	-313.74	0	-229.18	0	-314.74	0	-320.82	0
-314.38	0	-319.78	0	-313.66	0	-229.1	0	-314.66	0	-320.74	0
-314.3	0	-319.7	0	-313.58	0	-229.02	0	-314.58	0	-320.66	0
-314.22	0	-319.62	0	-313.5	0	-228.94	0	-314.5	0	-320.58	0
-314.14	0	-319.54	0	-313.42	0	-228.86	0	-314.42	0	-320.5	0
-314.06	0	-319.46	0	-313.34	0	-228.78	0	-314.34	0	-320.42	0
-313.98	0	-319.38	0	-313.26	0	-228.7	0	-314.26	0	-320.34	0
-313.9	0	-319.3	0	-313.18	0	-228.62	0	-314.18	0	-320.26	0
-313.82	0	-319.22	0	-313.1	0	-228.54	0	-314.1	0	-320.18	0
-313.74	0	-319.14	0	-313.02	0	-228.46	0	-314.02	0	-320.1	0
-313.66	0	-319.06	0	-312.94	0	-228.38	0	-313.94	0	-320.02	0
-313.58	0	-318.98	0	-312.86	0	-228.3	0	-313.86	0	-319.94	0
-313.5	0	-318.9	0	-312.78	0	-228.22	0	-313.78	0	-319.86	0
-313.42	0	-318.82	0	-312.7	0	-228.14	0	-313.7	0	-319.78	0
-313.34	0	-318.74	0	-312.62	0	-228.06	0	-313.62	0	-319.7	0
-313.26	0	-318.66	0	-312.54	0	-227.98	0	-313.54	0	-319.62	0
-313.18	0	-318.58	0	-312.46	0	-227.9	0	-313.46	0	-319.54	0
-313.1	0	-318.5	0	-312.38	0	-227.82	0	-313.38	0	-319.46	0
-313.02	0	-318.42	0	-312.3	0	-227.74	0	-313.3	0	-319.38	0
-312.94	0	-318.34	0	-312.22	0	-227.66	0	-313.22	0	-319.3	0
-312.86	0	-318.26	0	-312.14	0	-227.58	0	-313.14	0	-319.22	0
-312.78	0	-318.18	0	-312.06	0	-227.5	0	-313.06	0	-319.14	0
-312.7	0	-318.1	0	-311.98	0	-227.42	0	-312.98	0	-319.06	0
-312.62	0	-318.02	0	-311.9	0	-227.34	0	-312.9	0	-318.98	0
-312.54	0	-317.94	0	-311.82	0	-227.26	0	-312.82	0	-318.9	0
-312.46	0	-317.86	0	-311.74	0	-227.18	0	-312.74	0	-318.82	0
-312.38	0	-317.78	0	-311.66	0	-227.1	0	-312.66	0	-318.74	0
-312.3	0	-317.7	0	-311.58	0	-227.02	0	-312.58	0	-318.66	0
-312.22	0	-317.62	0	-311.5	0	-226.94	0	-312.5	0	-318.58	0
-312.14	0	-317.54	0	-311.42	0	-226.86	0	-312.42	0	-318.5	0
-312.06	0	-317.46	0	-311.34	0	-226.78	0	-312.34	0	-318.42	0
-311.98	0	-317.38	0	-311.26	0	-226.7	0	-312.26	0	-318.34	0
-311.9	0	-317.3	0	-311.18	0	-226.62	0	-312.18	0	-318.26	0
-311.82	0	-317.22	0	-311.1	0	-226.54	0	-312.1	0	-318.18	0
-311.74	0	-317.14	0	-311.02	0	-226.46	0	-312.02	0	-318.1	0
-311.66	0	-317.06	0	-310.94	0	-226.38	0	-311.94	0	-318.02	0
-311.58	0	-316.98	0	-310.86	0	-226.3	0	-311.86	0	-317.94	0
-311.5	0	-316.9	0	-310.78	0	-226.22	0	-311.78	0	-317.86	0
