wavelength	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	 spectral radiance	
nm	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	 W/sr-m^3	
67_SpecRad.txt	 2.000000 ns	 2.800000 ns	 3.600000 ns	 4.400000 ns	 5.200000 ns	 6.000000 ns	 6.800000 ns	 7.600000 ns	 8.400000 ns	 9.200000 ns	 11.200000 ns	 13.200000 ns	 15.200000 ns	 18.000000 ns	 21.200000 ns	 25.200000 ns	 30.000000 ns	 35.200000 ns	 41.200000 ns	 48.400000 ns	 56.800000 ns	 66.800000 ns	 78.800000 ns	 92.800000 ns	 109.200000 ns	 128.800000 ns	 152.000000 ns	 178.800000 ns	 210.400000 ns	 248.000000 ns	 292.400000 ns	 344.800000 ns	 406.400000 ns	 478.800000 ns	 564.400000 ns	 665.600000 ns	 784.400000 ns	 924.400000 ns	 1089.600000 ns	 1284.400000 ns	 1514.000000 ns	 1784.400000 ns	 2103.600000 ns	 2479.600000 ns	 2922.800000 ns	 3445.200000 ns	 4060.800000 ns	 4786.800000 ns	 5642.800000 ns	 6651.600000 ns	 7840.400000 ns	 9242.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	 0.000000 ns	
444.69	-1.3701e+08	-7.1183e+06	1.2278e+08	-1.3701e+08	-2.6691e+08	2.5267e+08	-6.566e+08	1.2278e+08	-7.1183e+06	-7.1183e+06	1.9932e+10	3.619e+10	2.8602e+10	2.0361e+10	1.4853e+10	1.597e+10	1.1201e+10	7.3807e+09	2.1578e+09	2.0358e+09	6.3154e+08	8.4153e+08	1.3806e+08	-6.235e+05	8.8892e+07	-9.5262e+07	5.0594e+06	8.2492e+08	5.0656e+08	2.252e+08	9.9172e+06	3.952e+08	1.5253e+09	1.8298e+09	1.455e+09	1.113e+09	1.3047e+09	1.2211e+09	9.5492e+08	9.2519e+08	9.8694e+08	6.636e+08	5.0256e+08	5.8009e+08	3.1924e+08	3.3131e+08	2.3881e+08	2.8769e+08	2.9459e+08	2.5201e+08	2.0076e+08	2.2131e+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
454.63	-1.3651e+07	-1.3651e+07	-2.5961e+08	2.3231e+08	3.5529e+08	1.0933e+08	1.0933e+08	-1.3651e+07	1.0933e+08	3.4298e+09	2.0247e+10	2.3885e+10	2.3352e+10	1.7105e+10	1.526e+10	1.0791e+10	6.7326e+09	6.5965e+09	6.3266e+09	2.3006e+09	2.3742e+09	1.3883e+09	6.5189e+08	6.6274e+08	8.7941e+07	1.0054e+08	1.785e+08	-3.6794e+06	2.1274e+08	3.1035e+08	3.4118e+08	5.6025e+08	1.1825e+09	2.4633e+09	1.3549e+09	1.5913e+09	1.4293e+09	1.202e+09	1.2343e+09	1.2677e+09	1.2956e+09	9.7085e+08	4.4475e+08	4.297e+08	4.5474e+08	3.5546e+08	3.0663e+08	2.8485e+08	3.0064e+08	2.5997e+08	2.3965e+08	1.9555e+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
464.25	-1.5232e+08	-4.452e+07	-4.452e+07	-2.6011e+08	3.8666e+08	-1.5232e+08	-4.452e+07	6.3276e+07	-4.452e+07	1.249e+09	2.6473e+10	3.6642e+10	2.7956e+10	1.8841e+10	9.1828e+09	1.052e+10	1.0443e+10	7.9324e+09	3.8841e+09	2.6308e+09	3.5972e+08	3.2917e+08	6.6567e+08	4.2439e+08	1.0053e+09	3.2892e+08	7.269e+08	1.6662e+07	1.0982e+08	2.7887e+08	5.033e+08	6.1873e+08	1.7765e+09	2.6591e+09	1.8415e+09	1.7849e+09	1.6327e+09	1.6328e+09	1.2856e+09	1.9861e+09	1.3821e+09	1.0986e+09	6.1794e+08	7.4394e+08	6.6575e+08	4.504e+08	4.0386e+08	3.8656e+08	3.1272e+08	2.8234e+08	3.5786e+08	2.6966e+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
473.44	2.0487e+07	2.0487e+07	-1.7361e+08	-7.6564e+07	1.1754e+08	1.1754e+08	-1.7361e+08	2.1459e+08	-7.6564e+07	-1.7361e+08	2.4793e+10	3.9164e+10	3.5808e+10	2.471e+10	1.2424e+10	1.0849e+10	4.8453e+09	4.5698e+09	4.4201e+09	2.2791e+09	7.4028e+08	9.1983e+08	2.4884e+08	1.7092e+08	3.3146e+07	8.6344e+07	1.509e+08	4.9525e+08	3.4693e+08	3.5457e+08	5.5347e+08	8.1577e+08	2.6755e+09	3.4202e+09	2.4401e+09	1.7751e+09	2.709e+09	2.0702e+09	1.4477e+09	1.9157e+09	1.5727e+09	1.2964e+09	6.8729e+08	7.3073e+08	6.4107e+08	4.9421e+08	5.2122e+08	4.8689e+08	4.1732e+08	4.2042e+08	4.1979e+08	3.8444e+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
483.56	7.3744e+07	7.3744e+07	2.6748e+08	-1.1999e+08	-1.1999e+08	-2.3122e+07	-2.3122e+07	-2.3122e+07	1.7061e+08	3.1735e+09	3.5963e+10	4.573e+10	3.4461e+10	2.2256e+10	1.4255e+10	1.4092e+10	1.0411e+10	5.3408e+09	3.8515e+09	1.9054e+09	2.1967e+09	1.1651e+09	1.3501e+09	3.1591e+08	1.9588e+08	4.6813e+08	2.9169e+08	2.2297e+08	5.2725e+08	3.6621e+08	5.0091e+08	8.8096e+08	2.1633e+09	3.2733e+09	2.6303e+09	2.1016e+09	2.3047e+09	2.4589e+09	2.0396e+09	2.0158e+09	1.8737e+09	1.0437e+09	8.744e+08	8.3821e+08	6.0046e+08	6.8481e+08	5.7468e+08	4.6781e+08	3.793e+08	4.5596e+08	3.4676e+08	3.5852e+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
492.75	-5.5783e+07	3.9232e+07	3.9232e+07	1.3425e+08	-5.5783e+07	-1.508e+08	1.3425e+08	2.2926e+08	3.2428e+08	4.1929e+08	3.0943e+10	4.7198e+10	3.6786e+10	1.794e+10	1.317e+10	1.1265e+10	6.5953e+09	5.0394e+09	2.7841e+09	2.8206e+09	2.5492e+09	1.7938e+09	1.5101e+08	9.3713e+08	9.2742e+08	1.1389e+08	2.1416e+07	2.6008e+08	3.3939e+08	5.5268e+08	7.5886e+08	5.9613e+08	2.0176e+09	4.1604e+09	2.6314e+09	2.7802e+09	2.4683e+09	2.5584e+09	2.161e+09	2.197e+09	1.8354e+09	1.2361e+09	1.102e+09	9.037e+08	8.5848e+08	7.159e+08	6.5729e+08	5.4466e+08	4.7053e+08	4.2451e+08	4.5921e+08	4.2325e+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
500.81	-2.7218e+08	9.5396e+07	1.8729e+08	-8.8394e+07	-8.8394e+07	1.8729e+08	3.5012e+06	3.5012e+06	-8.8394e+07	2.209e+09	3.0903e+10	4.4481e+10	3.9266e+10	3.0568e+10	2.2095e+10	1.2593e+10	7.1188e+09	3.484e+09	3.7406e+09	2.2006e+09	1.5045e+09	1.2717e+09	4.4676e+08	2.7919e+08	3.1514e+08	2.6278e+08	1.7293e+08	4.6546e+08	4.6089e+08	3.322e+08	8.5616e+08	8.7267e+08	2.0755e+09	4.2075e+09	2.9049e+09	3.0933e+09	2.8054e+09	2.9182e+09	2.3025e+09	2.744e+09	2.4666e+09	1.3644e+09	1.112e+09	1.1983e+09	1.0015e+09	8.6591e+08	7.5849e+08	6.8631e+08	5.8357e+08	4.7381e+08	5.0981e+08	5.1665e+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
509.5	1.922e+08	1.0167e+08	1.0167e+08	-7.9384e+07	1.1144e+07	1.0167e+08	1.1144e+07	1.0167e+08	1.1144e+07	6.4484e+08	2.9139e+10	3.8003e+10	3.0859e+10	2.2607e+10	1.3572e+10	1.2866e+10	1.0228e+10	5.9181e+09	2.1738e+09	1.2127e+09	1.3012e+09	6.6898e+08	2.8273e+08	4.0042e+08	1.6071e+08	2.8919e+08	2.5161e+08	1.0412e+08	3.6708e+08	4.4463e+08	1.5768e+09	1.3427e+09	2.6914e+09	4.5449e+09	3.4009e+09	3.4033e+09	3.8324e+09	3.383e+09	2.6021e+09	2.5367e+09	2.6315e+09	1.4722e+09	1.0536e+09	1.1034e+09	1.0562e+09	9.6303e+08	8.0289e+08	7.8114e+08	6.7569e+08	6.6872e+08	6.4057e+08	5.5532e+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
518.88	-3.8749e+08	2.7361e+08	5.324e+07	-5.6943e+07	-5.6943e+07	-1.6713e+08	1.6342e+08	-5.6943e+07	5.324e+07	5.324e+07	2.7902e+10	4.3539e+10	4.3493e+10	2.8282e+10	2.4271e+10	1.3732e+10	1.211e+10	5.2318e+09	5.5746e+09	1.4456e+09	1.3571e+09	1.2873e+09	8.1804e+08	3.1217e+08	2.6882e+08	-3.3332e+07	2.9138e+07	4.8504e+08	4.7895e+08	9.1563e+08	1.2237e+09	1.3448e+09	3.5017e+09	5.1717e+09	3.9332e+09	3.912e+09	3.4429e+09	3.2543e+09	3.132e+09	2.8103e+09	3.3212e+09	1.603e+09	1.2754e+09	1.2765e+09	1.0594e+09	1.3034e+09	9.9059e+08	8.5893e+08	7.9125e+08	7.1135e+08	7.2043e+08	6.3616e+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
529	-8.5793e+07	1.6127e+08	1.6127e+08	3.7739e+07	-3.3286e+08	-8.5793e+07	1.6127e+08	2.848e+08	-2.0933e+08	2.3849e+09	3.0488e+10	4.068e+10	3.5677e+10	3.0797e+10	2.0001e+10	1.9644e+10	8.4909e+09	7.0636e+09	6.6673e+09	3.8785e+09	1.3451e+09	1.8084e+09	4.81e+08	8.2217e+08	-1.0191e+08	1.0833e+08	2.8094e+08	2.1469e+08	4.8414e+08	4.0596e+08	1.3115e+09	1.5939e+09	2.9422e+09	5.5543e+09	4.2336e+09	3.8932e+09	3.8964e+09	3.7275e+09	3.4878e+09	3.1708e+09	3.6416e+09	1.644e+09	1.424e+09	1.4847e+09	1.4819e+09	1.0629e+09	1.0897e+09	1.1275e+09	8.2668e+08	8.9568e+08	8.3398e+08	7.6063e+08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
